Title,URL,Site,Short Intro,Category,Sub-Category,Language,Rating,Duration,is_paid,level
Machine Learning Specialization,https://www.coursera.org/specializations/machine-learning-introduction,Coursera,"#BreakIntoAI with Machine Learning Specialization. Master fundamental AI concepts and develop practical machine learning skills in the beginner-friendly, 3-course program by AI visionary Andrew Ng",data science,machine learning,English,4.9,3.0,,
Introduction to Data Science Specialization,https://www.coursera.org/specializations/introduction-data-science,Coursera,Launch your career in data science. Gain foundational data science skills to prepare for a career or further advanced learning in data science.,data science,data analysis,English,4.7,5.0,,
Data Science Fundamentals with Python and SQL Specialization,https://www.coursera.org/specializations/data-science-fundamentals-python-sql,Coursera,"Build the Foundation for your Data Science career. Develop hands-on experience with Jupyter, Python, SQL. Perform Statistical Analysis on real data sets.",data science,data analysis,English,4.6,7.0,,
Key Technologies for Business Specialization,https://www.coursera.org/specializations/key-technologies-for-business,Coursera,Get Ahead with Key Business Technologies. Gain Foundational Understanding of Key Technologies Driving Modern Businesses,business,business essentials,English,4.7,3.0,,
Deep Learning Specialization,https://www.coursera.org/specializations/deep-learning,Coursera,Become a Machine Learning expert. Master the fundamentals of deep learning and break into AI. Recently updated with cutting-edge techniques!,data science,machine learning,English,4.9,5.0,,
IBM & Darden Digital Strategy Specialization,https://www.coursera.org/specializations/digital-strategy,Coursera,Get ahead with key business and technical skills. Understand how current technologies are changing industry and create strategy to transform your business,data science,machine learning,English,4.8,7.0,,
IBM AI Foundations for Business Specialization,https://www.coursera.org/specializations/ibm-ai-foundations-for-business,Coursera,,data science,machine learning,English,4.7,2.0,,
Data Analysis and Visualization Foundations Specialization,https://www.coursera.org/specializations/data-analysis-visualization-foundations,Coursera,"Get ahead w/ Data Analysis & Visualization skills. Enhance your career by learning to analyze data using Excel spreadsheets, and create stunning visualizations and interactive dashboards with Cognos.",data science,data analysis,English,4.8,4.0,,
Applied Data Science Specialization,https://www.coursera.org/specializations/applied-data-science,Coursera,"Get hands-on skills for a career in data science. Learn Python, analyze and visualize data. Apply your skills to data science and machine learning. ",data science,machine learning,English,4.6,6.0,,
Data Engineering Foundations Specialization,https://www.coursera.org/specializations/data-engineering-foundations,Coursera,"Build the Foundation for a Data Engineering Career. Develop hands-on experience with Python, SQL, and Relational Databases and master the fundamentals of the Data Engineering ecosystem. ",information technology,data management,English,4.7,5.0,,
IT Fundamentals for Cybersecurity Specialization,https://www.coursera.org/specializations/it-fundamentals-cybersecurity,Coursera,Launch your career in Cybersecurity. Acquire the knowledge you need to work in Cybersecurity,information technology,security,English,4.6,5.0,,
Applied Software Engineering Fundamentals Specialization,https://www.coursera.org/specializations/software-engineering-fundamentals,Coursera,"Build the foundation of your career in Software. Develop hands-on experience with Git, GitHub, Linux, and Python, and learn the fundamentals of Software Engineering. ",computer science,software development,English,4.7,5.0,,
"DevOps, Cloud, and Agile Foundations Specialization",https://www.coursera.org/specializations/devops-cloud-and-agile-foundations,Coursera,,computer science,design and product,English,4.8,4.0,,
Cloud Application Development Foundations Specialization,https://www.coursera.org/specializations/ibm-cloud-application-development-foundations,Coursera,Kickstart Your Career as a Cloud Native Developer. Learn the foundational front-end and back-end skills for developing and deploying applications on Cloud.,information technology,cloud computing,English,4.5,6.0,,
